obj_name,PRMAGIC_1_best_iter
0_class-0,4
1_class-3,4
2_class-1,4
3_class-4,3
4_class-3,5
5_class-4,1
6_class-1,4
7_class-4,4
8_class-0,4
9_class-2,2
10_class-1,2
11_class-4,0
12_class-0,5
13_class-1,3
14_class-0,3
15_class-0,4
16_class-2,2
17_class-0,0
18_class-0,1
19_class-2,4
20_class-0,5
21_class-3,1
22_class-4,0
23_class-3,1
24_class-1,5
25_class-2,5
26_class-3,1
27_class-1,4
28_class-2,1
29_class-3,3
30_class-0,0
31_class-2,3
32_class-3,3
33_class-4,2
34_class-3,3
35_class-1,1
36_class-4,3
37_class-4,0
38_class-4,5
39_class-0,3
40_class-0,0
41_class-3,3
42_class-0,5
43_class-2,3
44_class-4,5
45_class-1,2
46_class-0,5
47_class-2,1
48_class-1,1
49_class-0,4
50_class-0,3
51_class-3,1
52_class-1,1
53_class-2,3
54_class-2,5
55_class-4,5
56_class-2,4
57_class-2,1
58_class-1,5
59_class-2,4
60_class-4,5
61_class-4,3
62_class-2,5
63_class-0,2
64_class-3,2
65_class-2,4
66_class-2,1
67_class-1,2
68_class-4,2
69_class-3,5
70_class-3,1
71_class-3,1
72_class-3,1
73_class-1,1
74_class-2,3
75_class-1,3
76_class-0,1
77_class-3,5
78_class-2,5
79_class-0,3
80_class-2,2
81_class-1,2
82_class-0,0
83_class-2,5
84_class-4,0
85_class-3,4
86_class-4,4
87_class-4,5
88_class-3,0
89_class-4,4
90_class-1,1
91_class-2,2
92_class-0,4
93_class-1,3
94_class-0,1
95_class-3,5
96_class-0,5
97_class-3,5
98_class-0,3
99_class-0,1
100_class-1,3
101_class-1,0
102_class-4,3
103_class-0,3
104_class-1,4
105_class-1,3
106_class-4,3
107_class-0,3
108_class-3,3
109_class-1,4
110_class-4,0
111_class-4,3
112_class-0,1
113_class-3,3
114_class-1,0
115_class-0,5
116_class-2,4
117_class-3,5
118_class-4,1
119_class-0,4
120_class-2,0
121_class-4,2
122_class-2,0
123_class-2,1
124_class-1,5
125_class-1,5
126_class-2,2
127_class-0,0
128_class-2,0
129_class-4,3
130_class-1,4
131_class-4,0
132_class-0,1
133_class-2,1
134_class-1,3
135_class-0,3
136_class-3,3
137_class-0,0
138_class-3,3
139_class-1,1
140_class-3,1
141_class-1,5
142_class-2,5
143_class-2,2
144_class-3,5
145_class-3,5
146_class-4,4
147_class-2,2
148_class-2,1
149_class-2,0
150_class-2,3
151_class-2,0
152_class-1,0
153_class-4,2
154_class-2,4
155_class-0,2
156_class-2,5
157_class-2,4
158_class-2,0
159_class-1,5
160_class-2,5
161_class-4,1
162_class-0,5
163_class-0,2
164_class-3,0
165_class-4,3
166_class-1,1
167_class-0,5
168_class-4,5
169_class-4,3
170_class-4,4
171_class-2,4
172_class-4,1
173_class-3,1
174_class-4,5
175_class-4,0
176_class-0,5
177_class-4,1
178_class-0,1
179_class-1,0
180_class-4,3
181_class-0,4
182_class-3,0
183_class-3,4
184_class-1,5
185_class-1,0
186_class-4,5
187_class-2,1
188_class-1,2
189_class-2,2
190_class-2,4
191_class-2,3
192_class-3,2
193_class-4,2
194_class-2,5
195_class-0,0
196_class-3,4
197_class-0,3
198_class-2,4
199_class-1,4
200_class-2,0
201_class-2,3
202_class-3,0
203_class-4,0
204_class-4,4
205_class-2,5
206_class-2,3
207_class-2,3
208_class-4,0
209_class-3,1
210_class-0,2
211_class-1,5
212_class-1,2
213_class-2,0
214_class-2,3
215_class-0,1
216_class-4,0
217_class-2,5
218_class-1,4
219_class-0,4
220_class-4,0
221_class-2,4
222_class-2,2
223_class-4,2
224_class-1,3
225_class-1,0
226_class-3,5
227_class-0,1
228_class-2,5
229_class-3,4
230_class-1,2
231_class-4,5
232_class-0,1
233_class-0,3
234_class-2,3
235_class-3,1
236_class-2,5
237_class-2,0
238_class-0,4
239_class-0,4
240_class-3,1
241_class-2,0
242_class-2,4
243_class-0,0
244_class-1,0
245_class-4,3
246_class-0,1
247_class-4,1
248_class-2,4
249_class-4,0
250_class-1,2
251_class-2,0
252_class-0,1
253_class-3,4
254_class-0,5
255_class-0,2
256_class-1,0
257_class-3,0
258_class-1,5
259_class-0,1
260_class-0,4
261_class-0,3
262_class-2,3
263_class-2,0
264_class-0,3
265_class-2,4
266_class-4,3
267_class-2,0
268_class-0,3
269_class-3,0
270_class-0,0
271_class-2,4
272_class-4,1
273_class-2,3
274_class-1,5
275_class-0,1
276_class-3,0
277_class-4,5
278_class-3,3
279_class-0,0
280_class-0,4
281_class-4,0
282_class-4,5
283_class-4,5
284_class-2,1
285_class-2,4
286_class-3,5
287_class-3,1
288_class-4,1
289_class-2,2
290_class-3,2
291_class-3,4
292_class-2,1
293_class-4,1
294_class-2,5
295_class-0,5
296_class-4,3
297_class-1,5
298_class-3,5
299_class-0,4
300_class-4,4
301_class-0,0
302_class-0,1
303_class-0,2
304_class-1,4
305_class-4,1
306_class-2,4
307_class-2,0
308_class-3,1
309_class-3,1
310_class-1,0
311_class-3,2
312_class-2,0
313_class-2,2
314_class-1,5
315_class-2,0
316_class-4,0
317_class-0,5
318_class-0,2
319_class-3,3
320_class-0,3
321_class-2,4
322_class-0,2
323_class-2,3
324_class-0,2
325_class-3,3
326_class-0,1
327_class-3,0
328_class-0,0
329_class-1,0
330_class-1,3
331_class-4,3
332_class-1,2
333_class-2,2
334_class-0,0
335_class-0,1
336_class-0,0
337_class-1,4
338_class-3,5
339_class-4,5
340_class-0,1
341_class-3,0
342_class-1,3
343_class-2,4
344_class-2,4
345_class-4,0
346_class-0,2
347_class-3,5
348_class-1,2
349_class-4,0
350_class-3,5
351_class-4,4
352_class-1,0
353_class-4,4
354_class-0,1
355_class-2,5
356_class-1,2
357_class-4,2
358_class-0,3
359_class-1,5
360_class-0,1
361_class-0,2
362_class-2,3
363_class-0,0
364_class-0,2
365_class-2,3
366_class-0,0
367_class-3,2
368_class-4,4
369_class-3,3
370_class-1,5
371_class-2,0
372_class-3,2
373_class-1,0
374_class-2,4
375_class-3,0
376_class-0,4
377_class-2,4
378_class-3,3
379_class-4,2
380_class-3,4
381_class-1,4
382_class-4,3
383_class-4,5
384_class-4,1
385_class-0,2
386_class-0,5
387_class-3,0
388_class-0,1
389_class-2,0
390_class-4,5
391_class-1,0
392_class-0,3
393_class-2,1
394_class-1,4
395_class-0,5
396_class-0,2
397_class-3,0
398_class-1,3
399_class-2,2
400_class-2,0
401_class-4,4
