obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-0,guarded,5,5,False,0.8040268421173096,0.8262361288070679,0.8773959875106812,0.9965004920959473,0.9952751398086548,0.8256555634301913,0.9850847125053406
1_class-3,guarded,0,0,False,0.827833890914917,0.827833890914917,0.9004106521606445,0.9928508996963501,0.9857803583145142,1.0,0.9840371012687683
2_class-1,guarded,0,3,True,0.8466490507125854,0.8466490507125854,0.8466490507125854,0.9664162397384644,0.9742745161056519,1.0,0.9708279371261597
3_class-4,guarded,1,1,False,0.4338859021663666,0.44666987657546997,0.6629555821418762,0.985511839389801,0.9900801181793213,0.643753735803945,0.9883357286453247
4_class-3,guarded,2,2,False,0.3925265669822693,0.4595213532447815,0.4595213532447815,0.9845252633094788,0.9982316493988037,0.36670259961026574,0.9899533987045288
5_class-4,guarded,0,0,False,0.33944568037986755,0.33944568037986755,0.34722352027893066,0.9913343191146851,0.988874077796936,1.0,0.946152925491333
6_class-1,guarded,0,3,True,0.638298511505127,0.638298511505127,0.638298511505127,0.9948226809501648,0.976473331451416,1.0,0.9293844103813171
7_class-4,guarded,0,5,True,0.3244085907936096,0.3244085907936096,0.3244085907936096,0.8980515003204346,0.8429468870162964,1.0,0.4072389602661133
8_class-0,guarded,0,3,True,0.9115606546401978,0.9115606546401978,0.9115606546401978,0.9946900606155396,0.9897469282150269,1.0,0.97711181640625
9_class-2,guarded,0,2,True,0.998792290687561,0.998792290687561,0.998792290687561,0.98464035987854,0.9916672706604004,1.0,0.9903360605239868
