obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
0_class-760,0,0.9813274145,0.9813274145,0.9814784527,0,0.9813274145,0.9813274145,0.9814784527,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
1_class-760,2,0.9738668203,0.9744238853,0.9757140875,0,0.9744238853,0.9744238853,0.9757140875,0.0005570650,-0.0005570650,0.0000000000,0,1,1.0000000000,FSS-1000,,,
2_class-760,4,0.9772538543,0.9058039188,0.9772538543,0,0.9058039188,0.9058039188,0.9772538543,-0.0714499354,0.0714499354,0.0000000000,1,1,0.0000000000,FSS-1000,,,
3_class-760,1,0.9643460512,0.9654957056,0.9654957056,0,0.9654957056,0.9654957056,0.9654957056,0.0011496544,-0.0011496544,0.0000000000,0,1,1.0000000000,FSS-1000,,,
4_class-760,4,0.9258130789,0.9717376828,0.9717376828,0,0.9717376828,0.9717376828,0.9717376828,0.0459246039,-0.0459246039,0.0000000000,0,1,1.0000000000,FSS-1000,,,
5_class-760,4,0.8971329927,0.9088302255,0.9186780453,0,0.9088302255,0.9088302255,0.9186780453,0.0116972327,-0.0116972327,0.0000000000,0,1,1.0000000000,FSS-1000,,,
6_class-760,5,0.9335729480,0.9401433468,0.9415881634,0,0.9401433468,0.9401433468,0.9415881634,0.0065703988,-0.0065703988,0.0000000000,0,1,1.0000000000,FSS-1000,,,
7_class-760,2,0.8776462078,0.8779630661,0.8788494468,2,0.8776462078,0.8779630661,0.8788494468,0.0000000000,-0.0003168583,-0.0003168583,0,0,0.0000000000,FSS-1000,,,
8_class-760,3,0.9629740715,0.9645647407,0.9645647407,0,0.9645647407,0.9645647407,0.9645647407,0.0015906692,-0.0015906692,0.0000000000,0,1,1.0000000000,FSS-1000,,,
9_class-760,5,0.9465957880,0.9441146255,0.9465957880,0,0.9441146255,0.9441146255,0.9465957880,-0.0024811625,0.0024811625,0.0000000000,1,1,0.0000000000,FSS-1000,,,
10_class-761,1,0.9743086100,0.9742160439,0.9747468829,1,0.9743086100,0.9742160439,0.9747468829,0.0000000000,0.0000925660,0.0000925660,1,1,0.0000000000,FSS-1000,,,
11_class-761,3,0.9760534763,0.9760540724,0.9763821363,0,0.9760540724,0.9760540724,0.9763821363,0.0000005960,-0.0000005960,0.0000000000,0,1,1.0000000000,FSS-1000,,,
12_class-761,3,0.9374163747,0.9341206551,0.9374163747,0,0.9341206551,0.9341206551,0.9374163747,-0.0032957196,0.0032957196,0.0000000000,1,1,0.0000000000,FSS-1000,,,
13_class-761,5,0.9712018967,0.9714252353,0.9719095230,5,0.9712018967,0.9714252353,0.9719095230,0.0000000000,-0.0002233386,-0.0002233386,0,0,0.0000000000,FSS-1000,,,
14_class-761,2,0.9197050333,0.9223639965,0.9244493246,2,0.9197050333,0.9223639965,0.9244493246,0.0000000000,-0.0026589632,-0.0026589632,0,0,0.0000000000,FSS-1000,,,
15_class-761,2,0.9574148655,0.9552655220,0.9574148655,2,0.9574148655,0.9552655220,0.9574148655,0.0000000000,0.0021493435,0.0021493435,1,1,0.0000000000,FSS-1000,,,
16_class-761,1,0.9734572172,0.8107621074,0.9734572172,0,0.8107621074,0.8107621074,0.9734572172,-0.1626951098,0.1626951098,0.0000000000,1,1,0.0000000000,FSS-1000,,,
17_class-761,0,0.9710486531,0.9710486531,0.9710661173,0,0.9710486531,0.9710486531,0.9710661173,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
18_class-761,3,0.9597378969,0.9566269517,0.9612786770,3,0.9597378969,0.9566269517,0.9612786770,0.0000000000,0.0031109452,0.0031109452,1,1,0.0000000000,FSS-1000,,,
19_class-761,3,0.9561273456,0.9555139542,0.9593555927,0,0.9555139542,0.9555139542,0.9593555927,-0.0006133914,0.0006133914,0.0000000000,1,1,0.0000000000,FSS-1000,,,
20_class-762,0,0.9427965283,0.9427965283,0.9505213499,0,0.9427965283,0.9427965283,0.9505213499,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
21_class-762,0,0.9475061893,0.9475061893,0.9475061893,0,0.9475061893,0.9475061893,0.9475061893,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
22_class-762,1,0.9571546912,0.9475554824,0.9571546912,1,0.9571546912,0.9475554824,0.9571546912,0.0000000000,0.0095992088,0.0095992088,1,1,0.0000000000,FSS-1000,,,
23_class-762,5,0.9336713552,0.9289288521,0.9336713552,0,0.9289288521,0.9289288521,0.9336713552,-0.0047425032,0.0047425032,0.0000000000,1,1,0.0000000000,FSS-1000,,,
24_class-762,0,0.8680666089,0.8680666089,0.9472885132,0,0.8680666089,0.8680666089,0.9472885132,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
25_class-762,3,0.9260272980,0.9131250381,0.9295969009,0,0.9131250381,0.9131250381,0.9295969009,-0.0129022598,0.0129022598,0.0000000000,1,1,0.0000000000,FSS-1000,,,
26_class-762,3,0.7277299166,0.7272858620,0.7284688950,3,0.7277299166,0.7272858620,0.7284688950,0.0000000000,0.0004440546,0.0004440546,1,1,0.0000000000,FSS-1000,,,
27_class-762,3,0.9418810010,0.9380093813,0.9418810010,0,0.9380093813,0.9380093813,0.9418810010,-0.0038716197,0.0038716197,0.0000000000,1,1,0.0000000000,FSS-1000,,,
28_class-762,2,0.9329269528,0.8937852383,0.9329269528,0,0.8937852383,0.8937852383,0.9329269528,-0.0391417146,0.0391417146,0.0000000000,1,1,0.0000000000,FSS-1000,,,
29_class-762,2,0.9646850824,0.9645769000,0.9647115469,2,0.9646850824,0.9645769000,0.9647115469,0.0000000000,0.0001081824,0.0001081824,1,1,0.0000000000,FSS-1000,,,
30_class-763,4,0.8090631962,0.7935562134,0.8130215406,4,0.8090631962,0.7935562134,0.8130215406,0.0000000000,0.0155069828,0.0155069828,1,1,0.0000000000,FSS-1000,,,
31_class-763,2,0.9528978467,0.9539375901,0.9540545344,2,0.9528978467,0.9539375901,0.9540545344,0.0000000000,-0.0010397434,-0.0010397434,0,0,0.0000000000,FSS-1000,,,
32_class-763,2,0.9548053741,0.9546692371,0.9549171329,0,0.9546692371,0.9546692371,0.9549171329,-0.0001361370,0.0001361370,0.0000000000,1,1,0.0000000000,FSS-1000,,,
33_class-763,4,0.9598968029,0.9594113827,0.9598968029,0,0.9594113827,0.9594113827,0.9598968029,-0.0004854202,0.0004854202,0.0000000000,1,1,0.0000000000,FSS-1000,,,
34_class-763,2,0.9769902229,0.9769296646,0.9772174954,2,0.9769902229,0.9769296646,0.9772174954,0.0000000000,0.0000605583,0.0000605583,1,1,0.0000000000,FSS-1000,,,
35_class-763,2,0.8840268850,0.1242204905,0.9451429248,2,0.8840268850,0.1242204905,0.9451429248,0.0000000000,0.7598063946,0.7598063946,1,1,0.0000000000,FSS-1000,,,
36_class-763,1,0.9595147967,0.9588723183,0.9595147967,0,0.9588723183,0.9588723183,0.9595147967,-0.0006424785,0.0006424785,0.0000000000,1,1,0.0000000000,FSS-1000,,,
37_class-763,5,0.9302513599,0.9284969568,0.9366338253,0,0.9284969568,0.9284969568,0.9366338253,-0.0017544031,0.0017544031,0.0000000000,1,1,0.0000000000,FSS-1000,,,
38_class-763,2,0.9318205714,0.2403570861,0.9318205714,2,0.9318205714,0.2403570861,0.9318205714,0.0000000000,0.6914634854,0.6914634854,1,1,0.0000000000,FSS-1000,,,
39_class-763,3,0.9563407302,0.6209042072,0.9563407302,3,0.9563407302,0.6209042072,0.9563407302,0.0000000000,0.3354365230,0.3354365230,1,1,0.0000000000,FSS-1000,,,
40_class-764,2,0.9467599392,0.9468620420,0.9469438791,0,0.9468620420,0.9468620420,0.9469438791,0.0001021028,-0.0001021028,0.0000000000,0,1,1.0000000000,FSS-1000,,,
41_class-764,1,0.9401107430,0.9393417835,0.9401502609,1,0.9401107430,0.9393417835,0.9401502609,0.0000000000,0.0007689595,0.0007689595,1,1,0.0000000000,FSS-1000,,,
42_class-764,5,0.9237430096,0.9252240658,0.9259245396,0,0.9252240658,0.9252240658,0.9259245396,0.0014810562,-0.0014810562,0.0000000000,0,1,1.0000000000,FSS-1000,,,
43_class-764,5,0.9800943732,0.9799901247,0.9800943732,5,0.9800943732,0.9799901247,0.9800943732,0.0000000000,0.0001042485,0.0001042485,1,1,0.0000000000,FSS-1000,,,
44_class-764,0,0.9617199898,0.9617199898,0.9618936777,0,0.9617199898,0.9617199898,0.9618936777,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
45_class-764,1,0.8885607719,0.8843283653,0.8885607719,1,0.8885607719,0.8843283653,0.8885607719,0.0000000000,0.0042324066,0.0042324066,1,1,0.0000000000,FSS-1000,,,
46_class-764,2,0.9741259813,0.9739103913,0.9750037193,2,0.9741259813,0.9739103913,0.9750037193,0.0000000000,0.0002155900,0.0002155900,1,1,0.0000000000,FSS-1000,,,
47_class-764,2,0.9638526440,0.9634805918,0.9673990011,2,0.9638526440,0.9634805918,0.9673990011,0.0000000000,0.0003720522,0.0003720522,1,1,0.0000000000,FSS-1000,,,
48_class-764,0,0.9246959686,0.9246959686,0.9260923862,0,0.9246959686,0.9246959686,0.9260923862,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
49_class-764,0,0.9643192887,0.9643192887,0.9647750854,0,0.9643192887,0.9643192887,0.9647750854,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
50_class-765,5,0.9507881403,0.9510853291,0.9512680173,0,0.9510853291,0.9510853291,0.9512680173,0.0002971888,-0.0002971888,0.0000000000,0,1,1.0000000000,FSS-1000,,,
51_class-765,0,0.9181020260,0.9181020260,0.9181020260,0,0.9181020260,0.9181020260,0.9181020260,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
52_class-765,4,0.9022411704,0.9025169611,0.9031916857,0,0.9025169611,0.9025169611,0.9031916857,0.0002757907,-0.0002757907,0.0000000000,0,1,1.0000000000,FSS-1000,,,
53_class-765,4,0.9302923679,0.9548121095,0.9548121095,0,0.9548121095,0.9548121095,0.9548121095,0.0245197415,-0.0245197415,0.0000000000,0,1,1.0000000000,FSS-1000,,,
54_class-765,4,0.8209433556,0.8185479641,0.8210136890,0,0.8185479641,0.8185479641,0.8210136890,-0.0023953915,0.0023953915,0.0000000000,1,1,0.0000000000,FSS-1000,,,
55_class-765,3,0.8516353369,0.8670338988,0.9017467499,0,0.8670338988,0.8670338988,0.9017467499,0.0153985620,-0.0153985620,0.0000000000,0,1,1.0000000000,FSS-1000,,,
56_class-765,4,0.9266332388,0.9259343743,0.9268897176,0,0.9259343743,0.9259343743,0.9268897176,-0.0006988645,0.0006988645,0.0000000000,1,1,0.0000000000,FSS-1000,,,
57_class-765,5,0.6735667586,0.8072940111,0.8166167736,0,0.8072940111,0.8072940111,0.8166167736,0.1337272525,-0.1337272525,0.0000000000,0,1,1.0000000000,FSS-1000,,,
58_class-765,0,0.9365708828,0.9365708828,0.9365708828,0,0.9365708828,0.9365708828,0.9365708828,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
59_class-765,1,0.8958636522,0.8958426714,0.9003570080,0,0.8958426714,0.8958426714,0.9003570080,-0.0000209808,0.0000209808,0.0000000000,1,1,0.0000000000,FSS-1000,,,
60_class-766,4,0.9865470529,0.9848670959,0.9865470529,4,0.9865470529,0.9848670959,0.9865470529,0.0000000000,0.0016799569,0.0016799569,1,1,0.0000000000,FSS-1000,,,
61_class-766,3,0.9795909524,0.9798955917,0.9798955917,3,0.9795909524,0.9798955917,0.9798955917,0.0000000000,-0.0003046393,-0.0003046393,0,0,0.0000000000,FSS-1000,,,
62_class-766,1,0.9850428104,0.6964179873,0.9851671457,1,0.9850428104,0.6964179873,0.9851671457,0.0000000000,0.2886248231,0.2886248231,1,1,0.0000000000,FSS-1000,,,
63_class-766,1,0.3644130826,0.3559255600,0.3644130826,1,0.3644130826,0.3559255600,0.3644130826,0.0000000000,0.0084875226,0.0084875226,1,1,0.0000000000,FSS-1000,,,
64_class-766,1,0.9736077785,0.9741764665,0.9741764665,0,0.9741764665,0.9741764665,0.9741764665,0.0005686879,-0.0005686879,0.0000000000,0,1,1.0000000000,FSS-1000,,,
65_class-766,0,0.9770046473,0.9770046473,0.9775887728,0,0.9770046473,0.9770046473,0.9775887728,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
66_class-766,4,0.9495037198,0.9546358585,0.9599706531,0,0.9546358585,0.9546358585,0.9599706531,0.0051321387,-0.0051321387,0.0000000000,0,1,1.0000000000,FSS-1000,,,
67_class-766,0,0.9718462229,0.9718462229,0.9737972021,0,0.9718462229,0.9718462229,0.9737972021,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
68_class-766,1,0.9771124125,0.9750454426,0.9775997400,0,0.9750454426,0.9750454426,0.9775997400,-0.0020669699,0.0020669699,0.0000000000,1,1,0.0000000000,FSS-1000,,,
69_class-766,3,0.9821774364,0.7633414268,0.9821774364,3,0.9821774364,0.7633414268,0.9821774364,0.0000000000,0.2188360095,0.2188360095,1,1,0.0000000000,FSS-1000,,,
70_class-767,5,0.9578568935,0.9580454230,0.9581556916,5,0.9578568935,0.9580454230,0.9581556916,0.0000000000,-0.0001885295,-0.0001885295,0,0,0.0000000000,FSS-1000,,,
71_class-767,0,0.8329907060,0.8329907060,0.8344029784,0,0.8329907060,0.8329907060,0.8344029784,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
72_class-767,2,0.9459567666,0.9437426329,0.9459567666,2,0.9459567666,0.9437426329,0.9459567666,0.0000000000,0.0022141337,0.0022141337,1,1,0.0000000000,FSS-1000,,,
73_class-767,5,0.9281439185,0.9277899265,0.9281469584,0,0.9277899265,0.9277899265,0.9281469584,-0.0003539920,0.0003539920,0.0000000000,1,1,0.0000000000,FSS-1000,,,
74_class-767,4,0.7964695096,0.8222774863,0.8222774863,0,0.8222774863,0.8222774863,0.8222774863,0.0258079767,-0.0258079767,0.0000000000,0,1,1.0000000000,FSS-1000,,,
75_class-767,0,0.8712491989,0.8712491989,0.8736740351,0,0.8712491989,0.8712491989,0.8736740351,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
76_class-767,5,0.9617578983,0.9609228373,0.9619622827,0,0.9609228373,0.9609228373,0.9619622827,-0.0008350611,0.0008350611,0.0000000000,1,1,0.0000000000,FSS-1000,,,
77_class-767,4,0.9713150263,0.9710392356,0.9714790583,0,0.9710392356,0.9710392356,0.9714790583,-0.0002757907,0.0002757907,0.0000000000,1,1,0.0000000000,FSS-1000,,,
78_class-767,0,0.9258414507,0.9258414507,0.9258414507,0,0.9258414507,0.9258414507,0.9258414507,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
79_class-767,5,0.9532474279,0.7766864896,0.9532474279,5,0.9532474279,0.7766864896,0.9532474279,0.0000000000,0.1765609384,0.1765609384,1,1,0.0000000000,FSS-1000,,,
80_class-768,5,0.9834365845,0.9833784103,0.9834365845,5,0.9834365845,0.9833784103,0.9834365845,0.0000000000,0.0000581741,0.0000581741,1,1,0.0000000000,FSS-1000,,,
81_class-768,1,0.9680060744,0.9792696238,0.9792696238,1,0.9680060744,0.9792696238,0.9792696238,0.0000000000,-0.0112635493,-0.0112635493,0,0,0.0000000000,FSS-1000,,,
82_class-768,5,0.9792051315,0.9790140390,0.9792051315,5,0.9792051315,0.9790140390,0.9792051315,0.0000000000,0.0001910925,0.0001910925,1,1,0.0000000000,FSS-1000,,,
83_class-768,5,0.8807000518,0.8450882435,0.8807000518,0,0.8450882435,0.8450882435,0.8807000518,-0.0356118083,0.0356118083,0.0000000000,1,1,0.0000000000,FSS-1000,,,
84_class-768,3,0.9416458607,0.9140332937,0.9416458607,3,0.9416458607,0.9140332937,0.9416458607,0.0000000000,0.0276125669,0.0276125669,1,1,0.0000000000,FSS-1000,,,
85_class-768,3,0.9751608968,0.9836890697,0.9836890697,0,0.9836890697,0.9836890697,0.9836890697,0.0085281730,-0.0085281730,0.0000000000,0,1,1.0000000000,FSS-1000,,,
86_class-768,2,0.9794503450,0.3101869822,0.9794890881,2,0.9794503450,0.3101869822,0.9794890881,0.0000000000,0.6692633629,0.6692633629,1,1,0.0000000000,FSS-1000,,,
87_class-768,5,0.5874856710,0.5856610537,0.5882135034,0,0.5856610537,0.5856610537,0.5882135034,-0.0018246174,0.0018246174,0.0000000000,1,1,0.0000000000,FSS-1000,,,
88_class-768,3,0.9701772928,0.8584680557,0.9721662998,3,0.9701772928,0.8584680557,0.9721662998,0.0000000000,0.1117092371,0.1117092371,1,1,0.0000000000,FSS-1000,,,
89_class-768,1,0.9893031120,0.9889641404,0.9893583059,1,0.9893031120,0.9889641404,0.9893583059,0.0000000000,0.0003389716,0.0003389716,1,1,0.0000000000,FSS-1000,,,
90_class-769,5,0.9220572114,0.9152576923,0.9238057137,5,0.9220572114,0.9152576923,0.9238057137,0.0000000000,0.0067995191,0.0067995191,1,1,0.0000000000,FSS-1000,,,
91_class-769,5,0.9619590044,0.9586775303,0.9619590044,5,0.9619590044,0.9586775303,0.9619590044,0.0000000000,0.0032814741,0.0032814741,1,1,0.0000000000,FSS-1000,,,
92_class-769,5,0.8103693724,0.8127951622,0.8127951622,5,0.8103693724,0.8127951622,0.8127951622,0.0000000000,-0.0024257898,-0.0024257898,0,0,0.0000000000,FSS-1000,,,
93_class-769,1,0.9234075546,0.9281626940,0.9395897388,0,0.9281626940,0.9281626940,0.9395897388,0.0047551394,-0.0047551394,0.0000000000,0,1,1.0000000000,FSS-1000,,,
94_class-769,1,0.9499086738,0.9501596093,0.9503659606,1,0.9499086738,0.9501596093,0.9503659606,0.0000000000,-0.0002509356,-0.0002509356,0,0,0.0000000000,FSS-1000,,,
95_class-769,1,0.9712605476,0.9671068192,0.9712605476,1,0.9712605476,0.9671068192,0.9712605476,0.0000000000,0.0041537285,0.0041537285,1,1,0.0000000000,FSS-1000,,,
96_class-769,0,0.9607130885,0.9607130885,0.9607130885,0,0.9607130885,0.9607130885,0.9607130885,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
97_class-769,2,0.9460068345,0.9473122358,0.9474264383,2,0.9460068345,0.9473122358,0.9474264383,0.0000000000,-0.0013054013,-0.0013054013,0,0,0.0000000000,FSS-1000,,,
98_class-769,2,0.9681934714,0.9686883688,0.9687683582,0,0.9686883688,0.9686883688,0.9687683582,0.0004948974,-0.0004948974,0.0000000000,0,1,1.0000000000,FSS-1000,,,
99_class-769,0,0.9675646424,0.9675646424,0.9676880240,0,0.9675646424,0.9675646424,0.9676880240,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
100_class-770,2,0.9035429955,0.9004454613,0.9035429955,0,0.9004454613,0.9004454613,0.9035429955,-0.0030975342,0.0030975342,0.0000000000,1,1,0.0000000000,FSS-1000,,,
101_class-770,4,0.9515716434,0.9518688321,0.9519065619,0,0.9518688321,0.9518688321,0.9519065619,0.0002971888,-0.0002971888,0.0000000000,0,1,1.0000000000,FSS-1000,,,
102_class-770,5,0.9796738029,0.9797025919,0.9799461365,0,0.9797025919,0.9797025919,0.9799461365,0.0000287890,-0.0000287890,0.0000000000,0,1,1.0000000000,FSS-1000,,,
103_class-770,2,0.9698477983,0.9687851071,0.9698477983,0,0.9687851071,0.9687851071,0.9698477983,-0.0010626912,0.0010626912,0.0000000000,1,1,0.0000000000,FSS-1000,,,
104_class-770,1,0.9599245787,0.9600678682,0.9602025747,1,0.9599245787,0.9600678682,0.9602025747,0.0000000000,-0.0001432896,-0.0001432896,0,0,0.0000000000,FSS-1000,,,
105_class-770,2,0.9371004105,0.9367592931,0.9371004105,2,0.9371004105,0.9367592931,0.9371004105,0.0000000000,0.0003411174,0.0003411174,1,1,0.0000000000,FSS-1000,,,
106_class-770,4,0.9596353173,0.9596455693,0.9596891403,4,0.9596353173,0.9596455693,0.9596891403,0.0000000000,-0.0000102520,-0.0000102520,0,0,0.0000000000,FSS-1000,,,
107_class-770,0,0.9446715117,0.9446715117,0.9446715117,0,0.9446715117,0.9446715117,0.9446715117,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
108_class-770,4,0.9401011467,0.9415163398,0.9420617819,0,0.9415163398,0.9415163398,0.9420617819,0.0014151931,-0.0014151931,0.0000000000,0,1,1.0000000000,FSS-1000,,,
109_class-770,3,0.9502979517,0.9505075216,0.9510554075,3,0.9502979517,0.9505075216,0.9510554075,0.0000000000,-0.0002095699,-0.0002095699,0,0,0.0000000000,FSS-1000,,,
110_class-771,4,0.0189640876,0.1411677599,0.3935091197,0,0.1411677599,0.1411677599,0.3935091197,0.1222036723,-0.1222036723,0.0000000000,0,1,1.0000000000,FSS-1000,,,
111_class-771,0,0.9605594873,0.9605594873,0.9609649181,0,0.9605594873,0.9605594873,0.9609649181,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
112_class-771,1,0.8332882524,0.8332127333,0.8398056030,0,0.8332127333,0.8332127333,0.8398056030,-0.0000755191,0.0000755191,0.0000000000,1,1,0.0000000000,FSS-1000,,,
113_class-771,4,0.9568423033,0.9565947056,0.9569179416,0,0.9565947056,0.9565947056,0.9569179416,-0.0002475977,0.0002475977,0.0000000000,1,1,0.0000000000,FSS-1000,,,
114_class-771,0,0.9025498629,0.9025498629,0.9045075178,0,0.9025498629,0.9025498629,0.9045075178,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
115_class-771,2,0.9247359037,0.9243537188,0.9247889519,2,0.9247359037,0.9243537188,0.9247889519,0.0000000000,0.0003821850,0.0003821850,1,1,0.0000000000,FSS-1000,,,
116_class-771,5,0.8130455017,0.8161639571,0.8161639571,0,0.8161639571,0.8161639571,0.8161639571,0.0031184554,-0.0031184554,0.0000000000,0,1,1.0000000000,FSS-1000,,,
117_class-771,1,0.9626625776,0.9623035192,0.9628267288,0,0.9623035192,0.9623035192,0.9628267288,-0.0003590584,0.0003590584,0.0000000000,1,1,0.0000000000,FSS-1000,,,
118_class-771,2,0.8677276373,0.1904050708,0.9258157015,2,0.8677276373,0.1904050708,0.9258157015,0.0000000000,0.6773225665,0.6773225665,1,1,0.0000000000,FSS-1000,,,
119_class-771,3,0.9483649731,0.9616060257,0.9647560120,0,0.9616060257,0.9616060257,0.9647560120,0.0132410526,-0.0132410526,0.0000000000,0,1,1.0000000000,FSS-1000,,,
120_class-772,1,0.9743105173,0.9767286181,0.9779326916,0,0.9767286181,0.9767286181,0.9779326916,0.0024181008,-0.0024181008,0.0000000000,0,1,1.0000000000,FSS-1000,,,
121_class-772,4,0.9789452553,0.9785697460,0.9789452553,0,0.9785697460,0.9785697460,0.9789452553,-0.0003755093,0.0003755093,0.0000000000,1,1,0.0000000000,FSS-1000,,,
122_class-772,3,0.3102057278,0.2551583052,0.3102057278,0,0.2551583052,0.2551583052,0.3102057278,-0.0550474226,0.0550474226,0.0000000000,1,1,0.0000000000,FSS-1000,,,
123_class-772,4,0.9860972166,0.9860895872,0.9860972166,4,0.9860972166,0.9860895872,0.9860972166,0.0000000000,0.0000076294,0.0000076294,1,1,0.0000000000,FSS-1000,,,
124_class-772,1,0.7943866849,0.7944462299,0.7946349382,1,0.7943866849,0.7944462299,0.7946349382,0.0000000000,-0.0000595450,-0.0000595450,0,0,0.0000000000,FSS-1000,,,
125_class-772,5,0.9887667894,0.9690393209,0.9896225333,0,0.9690393209,0.9690393209,0.9896225333,-0.0197274685,0.0197274685,0.0000000000,1,1,0.0000000000,FSS-1000,,,
126_class-772,1,0.9916611314,0.9916019440,0.9916611314,0,0.9916019440,0.9916019440,0.9916611314,-0.0000591874,0.0000591874,0.0000000000,1,1,0.0000000000,FSS-1000,,,
127_class-772,1,0.1313704699,0.1309748441,0.1314100474,0,0.1309748441,0.1309748441,0.1314100474,-0.0003956258,0.0003956258,0.0000000000,1,1,0.0000000000,FSS-1000,,,
128_class-772,4,0.9813162088,0.9474769235,0.9813162088,0,0.9474769235,0.9474769235,0.9813162088,-0.0338392854,0.0338392854,0.0000000000,1,1,0.0000000000,FSS-1000,,,
129_class-772,4,0.9442875981,0.9435564280,0.9445344210,4,0.9442875981,0.9435564280,0.9445344210,0.0000000000,0.0007311702,0.0007311702,1,1,0.0000000000,FSS-1000,,,
130_class-773,3,0.8974652886,0.7662648559,0.8974652886,3,0.8974652886,0.7662648559,0.8974652886,0.0000000000,0.1312004328,0.1312004328,1,1,0.0000000000,FSS-1000,,,
131_class-773,0,0.8758580685,0.8758580685,0.8992921114,0,0.8758580685,0.8758580685,0.8992921114,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
132_class-773,4,0.7775293589,0.7781062126,0.7819621563,0,0.7781062126,0.7781062126,0.7819621563,0.0005768538,-0.0005768538,0.0000000000,0,1,1.0000000000,FSS-1000,,,
133_class-773,5,0.7742276192,0.7858681083,0.7858681083,0,0.7858681083,0.7858681083,0.7858681083,0.0116404891,-0.0116404891,0.0000000000,0,1,1.0000000000,FSS-1000,,,
134_class-773,0,0.9840348363,0.9840348363,0.9848263264,0,0.9840348363,0.9840348363,0.9848263264,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
135_class-773,1,0.7678703070,0.7732811570,0.7732811570,1,0.7678703070,0.7732811570,0.7732811570,0.0000000000,-0.0054108500,-0.0054108500,0,0,0.0000000000,FSS-1000,,,
136_class-773,2,0.9399497509,0.6124889851,0.9399497509,2,0.9399497509,0.6124889851,0.9399497509,0.0000000000,0.3274607658,0.3274607658,1,1,0.0000000000,FSS-1000,,,
137_class-773,2,0.8242063522,0.9812415838,0.9812415838,0,0.9812415838,0.9812415838,0.9812415838,0.1570352316,-0.1570352316,0.0000000000,0,1,1.0000000000,FSS-1000,,,
138_class-773,5,0.9752864838,0.9741684198,0.9752864838,0,0.9741684198,0.9741684198,0.9752864838,-0.0011180639,0.0011180639,0.0000000000,1,1,0.0000000000,FSS-1000,,,
139_class-773,2,0.6758406162,0.7759016156,0.7765151262,2,0.6758406162,0.7759016156,0.7765151262,0.0000000000,-0.1000609994,-0.1000609994,0,0,0.0000000000,FSS-1000,,,
140_class-774,5,0.9708844423,0.8785192966,0.9708844423,5,0.9708844423,0.8785192966,0.9708844423,0.0000000000,0.0923651457,0.0923651457,1,1,0.0000000000,FSS-1000,,,
141_class-774,1,0.7977043390,0.7971775532,0.8008243442,0,0.7971775532,0.7971775532,0.8008243442,-0.0005267859,0.0005267859,0.0000000000,1,1,0.0000000000,FSS-1000,,,
142_class-774,3,0.9882442951,0.9895325303,0.9895325303,0,0.9895325303,0.9895325303,0.9895325303,0.0012882352,-0.0012882352,0.0000000000,0,1,1.0000000000,FSS-1000,,,
143_class-774,4,0.9516545534,0.9816474915,0.9816474915,0,0.9816474915,0.9816474915,0.9816474915,0.0299929380,-0.0299929380,0.0000000000,0,1,1.0000000000,FSS-1000,,,
144_class-774,0,0.9028596878,0.9028596878,0.9175989628,0,0.9028596878,0.9028596878,0.9175989628,0.0000000000,0.0000000000,0.0000000000,1,1,0.0000000000,FSS-1000,,,
145_class-774,2,0.8342604637,0.8329039216,0.8342604637,2,0.8342604637,0.8329039216,0.8342604637,0.0000000000,0.0013565421,0.0013565421,1,1,0.0000000000,FSS-1000,,,
